Product_ID,Product_Name,Chocolate_Type,Cocoa_Content,Brand,Origin_Region,Cost
77,TPZ-Chocolate,Dark Chocolate,55,Chocolate is Divine,South America,31
98,BHV-Chocolate,Dark Chocolate,54,Craftest Chocolate,Caribbean,62
67,IQH-Chocolate,Dark Chocolate,53,Craftest Chocolate,Caribbean,18
13,QKK-Chocolate,Dark Chocolate,53,Craftest Chocolate,South America,146
22,RQL-Chocolate,Dark Chocolate,52,Sweetest Chocolate,Caribbean,15
42,FTF-Chocolate,Dark Chocolate,52,Chocolate is Divine,South America,153
65,CYE-Chocolate,Dark Chocolate,51,Craftest Chocolate,Central America,121
51,QWV-Chocolate,Dark Chocolate,50,Craftest Chocolate,Africa,139
69,CEH-Chocolate,Dark Chocolate,50,Luxurious and Sweetest Chocolates,Africa,115
88,EMH-Chocolate,Dark Chocolate,50,Chocolate is Divine,South America,199
15,HTT-Chocolate,Dark Chocolate,49,Luxurious and Sweetest Chocolates,Central America,144
78,SNC-Chocolate,Dark Chocolate,49,Chocolate is Divine,South America,34
40,LJF-Chocolate,White Chocolate,48,Luxurious and Sweetest Chocolates,Asia,47
84,GFV-Chocolate,White Chocolate,47,Sweetest Chocolate,South America,175
9,ZJG-Chocolate,White Chocolate,46,Sweetest Chocolate,Africa,22
7,NUD-Chocolate,White Chocolate,46,Master in Chocolate ,Central America,42
68,CUJ-Chocolate,White Chocolate,45,Sweetest Chocolate,Caribbean,167
29,OHW-Chocolate,White Chocolate,45,Chocolate is Divine,Central America,98
2,EOJ-Chocolate,White Chocolate,44,Chocolate is Divine,Central America,46
100,VEX-Chocolate,White Chocolate,44,Sweetest Chocolate,South America,128
73,LOY-Chocolate,White Chocolate,44,Sweetest Chocolate,Central America,72
17,OKM-Chocolate,White Chocolate,43,Sweetest Chocolate,South America,153
57,WDH-Chocolate,White Chocolate,43,Craftest Chocolate,Caribbean,82
82,OLE-Chocolate,White Chocolate,43,Chocolate is Divine,Asia,80
26,MPL-Chocolate,White Chocolate,42,Chocolate is Divine,Caribbean,144
30,TZY-Chocolate,White Chocolate,42,Craftest Chocolate,South America,150
8,JRD-Chocolate,White Chocolate,41,Craftest Chocolate,Central America,142
72,YZW-Chocolate,White Chocolate,41,Craftest Chocolate,Central America,34
85,ZYM-Chocolate,White Chocolate,41,Master in Chocolate ,Africa,183
16,IIM-Chocolate,Milk Chocolate,40,Master in Chocolate ,Africa,64
92,VOS-Chocolate,Milk Chocolate,40,Luxurious and Sweetest Chocolates,Caribbean,66
79,KCY-Chocolate,Milk Chocolate,40,Chocolate is Divine,South America,160
18,EOD-Chocolate,Milk Chocolate,38,Craftest Chocolate,South America,154
37,QWB-Chocolate,Milk Chocolate,37,Luxurious and Sweetest Chocolates,Asia,171
48,YGL-Chocolate,Milk Chocolate,36,Craftest Chocolate,South America,29
86,XTK-Chocolate,Milk Chocolate,35,Craftest Chocolate,Central America,194
90,NHW-Chocolate,Milk Chocolate,35,Craftest Chocolate,Central America,53
97,BJI-Chocolate,Milk Chocolate,34,Craftest Chocolate,Africa,121
74,OQG-Chocolate,Milk Chocolate,32,Master in Chocolate ,Caribbean,191
71,BIS-Chocolate,Milk Chocolate,32,Sweetest Chocolate,Asia,92
45,PWT-Chocolate,Milk Chocolate,32,Master in Chocolate ,South America,146
62,EHP-Chocolate,Milk Chocolate,31,Luxurious and Sweetest Chocolates,Central America,133
63,RHY-Chocolate,Milk Chocolate,30,Craftest Chocolate,Africa,145
89,FAW-Chocolate,Milk Chocolate,30,Luxurious and Sweetest Chocolates,Caribbean,76
60,XUL-Chocolate,Milk Chocolate,30,Master in Chocolate ,Caribbean,115
